Code;Population;
SK0101528595;46929;
SK0102529311;23465;
SK0102529320;81741;
SK0102529338;20407;
SK0103529346;44876;
SK0103529354;26049;
SK0103529362;6043;
SK0104529371;17112;
SK0104529389;35759;
SK0104529397;35078;
SK0104529401;2024;
SK0104529419;7786;
SK0104529427;7305;
SK0105529435;1751;
SK0105529443;2923;
SK0105529460;113215;
SK0105529494;4459;
SK0106500267;138;
SK0106504556;1739;
SK0106504629;722;
SK0106504637;739;
SK0106504769;3564;
SK0106504858;1667;
SK0106504874;1720;
SK0106504947;3735;
SK0106504980;2992;
SK0106507831;902;
SK0106507890;3171;
SK0106507954;1411;
SK0106507962;1771;
SK0106508012;2169;
SK0106508021;1786;
SK0106508039;2150;
SK0106508055;3184;
SK0106508063;18805;
SK0106508080;2296;
SK0106508161;914;
SK0106508195;2573;
SK0106508233;12685;
SK0106508241;685;
SK0106508349;2236;
SK0106508365;1859;
SK0106508381;3652;
SK0107507806;1861;
SK0107507849;2489;
SK0107507857;2400;
SK0107507873;1084;
SK0107507881;1158;
SK0107507946;1015;
SK0107507989;5945;
SK0107508047;2394;
SK0107508101;9273;
SK0107508179;24617;
SK0107508187;363;
SK0107508225;5766;
SK0107508250;5301;
SK0107508268;396;
SK0107508306;2791;
SK0107508314;1546;
SK0107508322;1387;
SK0108503681;516;
SK0108503797;1593;
SK0108503801;1082;
SK0108503819;642;
SK0108503851;841;
SK0108503894;2323;
SK0108503983;1709;
SK0108507814;9548;
SK0108507822;1819;
SK0108507865;1196;
SK0108507903;2805;
SK0108507911;7416;
SK0108507938;7179;
SK0108507997;1504;
SK0108508071;4051;
SK0108508098;5323;
SK0108508110;4228;
SK0108508136;3434;
SK0108508209;5808;
SK0108508217;20115;
SK0108508276;2787;
SK0108508284;1246;
SK0108508292;3051;
SK0108508331;420;
SK0108545333;7896;
SK0108555487;573;
SK0108555495;945;
SK0108555509;2250;
SK0108582549;97;
SK0211501433;22892;
SK0211501441;559;
SK0211501450;1143;
SK0211501468;733;
SK0211501484;385;
SK0211501492;977;
SK0211501506;359;
SK0211501514;629;
SK0211501522;8301;
SK0211501531;1144;
SK0211501549;518;
SK0211501557;954;
SK0211501573;5262;
SK0211501581;2149;
SK0211501590;2180;
SK0211501603;1286;
SK0211501611;1903;
SK0211501620;646;
SK0211501638;3060;
SK0211501654;1634;
SK0211501662;943;
SK0211501671;486;
SK0211501689;350;
SK0211501697;1457;
SK0211501701;1121;
SK0211501719;1499;
SK0211501727;1907;
SK0211501735;3154;
SK0211501743;707;
SK0211501760;526;
